Name,Country,Link,Quotes,Stance,key_quotes
Travis Fisher,United States,https://www.desmog.com/travis-fisher/,"['The single greatest emerging threat to reliable electricity in the U.S. does not come from natural disturbances or from human attacks. Rather, the host of bad policies now coming from the federal government—and, unfortunately, from many state governments —is creating far greater and more predictable problems with grid reliability.', 'Alex Epstein has helped me re-frame my thinking, as Julian Simon set out to do, to take into account all facets of the human environment when dealing with environmental issues. He illustrates very effectively that the ‘natural’ environment is not conducive to human progress, and thus we must set out to improve it if we wish to improve ourselves.', 'The notion that wind and solar power are becoming cheaper than sources like coal and nuclear is patently false,', 'Going 100 percent renewable is an outrageously expensive and impractical thing to do—it’s irresponsible to make it sound easy or even desirable,', 'AWEA fails to address environmental impacts other than air pollution, which include bird and bat deaths, increased land use, and problems associated with the rare earths used in wind turbines,', 'Despite years of subsidies for wind, solar, and other renewables, these technologies are still not competitive with coal, natural gas, and other affordable, reliable sources of electricity generation,', 'The recommendations ignore renewable energy’s contributions to a reliable electricity system,', 'The single greatest threat to reliable electricity in the U.S. does not come from natural disturbances or human attacks. Rather, the host of bad policies now coming from the federal government – and unfortunately from many state governments – is creating far greater and more predictable problems with grid reliability.']","['2015', 'Fisher has opposed clean energy policies that would reduce greenhouse gas emissions. Ina 2015 IER report, Fisher wrote:11“Assessing Emerging Policy Threats to the U.S. Power Grid” (PDF),Institute for Energy Research, February 2015. Archived .pdf on file at DeSmog.', '“The single greatest emerging threat to reliable electricity in the U.S. does not come from natural disturbances or from human attacks. Rather, the host of bad policies now coming from the federal government—and, unfortunately, from many state governments —is creating far greater and more predictable problems with grid reliability.”']",
Alex Fitzsimmons,United States,https://www.desmog.com/alex-fitzsimmons/,"['The final [carbon] rule is even worse than the proposal: it is still an illegal assault on states, it raises electricity prices even more than originally thought, it poses an even larger threat to the electric grid, and it still does nothing to address climate change. Now more than ever, states should reject President Obama’s costly carbon agenda and refuse to submit state plans.', 'Preserving consumer choice does not harm consumers, period. […] Our rigorous economic analysis shows increasing standards on incandescent light bulbs would not be economically justified because consumers would not be able to recover the cost of their investment because more stringent standards would make these light bulbs 300 percent more expensive. More stringent standards would effectively regulate incandescent light bulbs out of existence and DOE is not in that business.', 'purchase a product that’s going to cost them more and that they’re going to have to replace more often, and that is going to put out significantly more pollution emissions and carbon emissions that will then impact that consumer, their family and all of the other citizens in the country.', '[T]he president’s climate agenda doesn’t just live-or-die on subsidies like the wind PTC, but also depends on the boom-and-bust cycle created by government dysfunction around whether to keep the subsidies flowing. Congress should end this madness once and for all by refusing to revive the wind PTC in any tax extenders deal. That would eliminate welfare for wind lobbyists and help protect the American people from part of President Obama’s costly climate agenda.', 'EPA’s regulatory agenda contradicts itself while imposing enormous economic costs on Americans, all while air quality continues to improve without further federal intervention. For these reasons, EPA should withdraw its ozone and carbon dioxide rules.', 'If [Dennis] McGinn is truly interested in taking ‘the politics out of something which is essentially a national security issue,’ as he puts it, he should embrace the American shale revolution.', 'When you talk about the future of our energy system, it’s changing dramatically,', 'The IER alumni are significant given DOE is facing steep budget cuts, possible layoffs and reorganization and is conducting a review of baseload power and energy subsidies,', 'his article originally failed to disclose that the author is an analyst and spokesperson for Fueling U.S. Forward, an organization that advocates for the use of domestic oil and natural gas. We’ve updated the article to reflect that affiliation and regret the error.34Alex Fitzsimmons. “Will Humans Run Out of Fertilizer?', 'The final rule is even worse than the proposal: it is still an illegal assault on states,', 'We have all faced the misconception that free markets lead to unchecked pollution, deforestation, and waste,', 'OSHA’s proposed rule not only threatens to undermine hydraulic fracturing operations responsible for America’s domestic energy boom, but it is also a disservice to the workers that OSHA is obligated to protect,', 'If [Dennis] McGinn is truly interested in taking “the politics out of something which is essentially a national security issue,']","['While Alex Fitzsimmons does not appear to have a clear statement regarding his views on climate change, he consistently opposes regulations and has criticized the Obama EPA’s Clean Power Plan as doing “nothing to address climate change”:15Alex Fitzsimmons. “Obama’s Final Carbon Rule Combines Fake Carrots and a Big Stick,” Institute for Energy Research, August 4, 2015. Archived December 19, 2016. Archive.is URL:https://archive.is/46KqW', '“The final [carbon] rule is even worse than the proposal: it is still an illegal assault on states, it raises electricity prices even more than originally thought, it poses an even larger threat to the electric grid, and it still does nothing to address climate change. Now more than ever, states should reject President Obama’s costly carbon agenda and refuse to submit state plans.”16Alex Fitzsimmons. “Obama’s Final Carbon Rule Combines Fake Carrots and a Big Stick,” Institute for Energy Research, August 4, 2015. Archived December 19, 2016. Archive.is URL:https://archive.is/46KqW']",
FleishmanHillard,"Canada, United States, International",https://www.desmog.com/fleishmanhillard/,"['No, Omnicom does not have a formal position paper on climate change. The company regards the threat of climate change serious [sic] and we are taking measure [sic] to cut our carbon emissions around the world. For more information, you can check our annual CSR Report here – http://csr.omnicomgroup.com.', 'Paulsen was hired by the Friends of Science on a one-year contract to manage communications because of his experience in public relations, said the group’s president Douglas Leahey in an interview,']","['2018', 'In 2018, theClimate Investigations Center (CIC) reached out to FleishmanHillardwith a climate survey. Its response was to defer to its parent company, Omnicom, and its 2017Corporate Responsibility Report.5“FleishmanHillard PR,”Climate Investigations Center. Accessed February 2023.', '“The Omnicom report does not detail any of their policies on whether they accept clients with anti-environmental agendas or clients that promote climate change denial,” CIC reported.', 'When Omnicom responded to CIC’s email, it offered the following response:', '“No, Omnicom does not have a formal position paper on climate change. The company regards the threat of climate change serious [sic] and we are taking measure [sic] to cut our carbon emissions around the world. For more information, you can check our annual CSR Report here – http://csr.omnicomgroup.com.”6“FleishmanHillard PR,”Climate Investigations Center. Accessed February 2023.', '2006', 'While Morten Paulsen and Byron Thomas werelisted as communication contacts and lobbyistsfor FoS, FoS ran several radio ads,including one with the following transcript:7“Global Warming Myths Ad, January 2006.” friendsofscience.org. Archived .mp4 on file at DeSmog.8Brulle, R.J., Werthman, C. “The role of public relations firms in climate change politics,”Climatic Change169, 8 (2021) [Supplementary Materials].', '“Here’s an easy true and false quiz. Ready?']",
Joe Fone,New Zealand,https://www.desmog.com/joe-fone/,"['The climate science community has been hijacked by vested interest groups, from politicians to environmentalist extremists, who are more concerned with advocacy for their causes than true unbiased scientific endeavor. We can only hope to have begun here to redress the balance, and to ask the questions which vested interests do not want asked.', 'Despite oft-repeated claims by the IPCC and its fawning apologists that the planet is heading for some kind of apocalyptic meltdown, the actual empirical evidence suggests precisely the opposite. Europe and the United States are buried in record amounts of snow every year, but somehow the alarmists manage to twist even this into ‘evidence’ of manmade global warming.', 'Everything it seems can be attributed to global warming, everything from acne and declining bat populations to deaf fish and zoonotic diseases (www.numberwatch.co.uk/warmlist.htm). And in order to dilute growing public scepticism and suspicions that the science is not stacking up, the alarmists shift the goal posts so that “global warming', 'Epicurus understood more about how the earth behaves than the IPCC does two millennia later.', 'Truth has nothing to do with it. To the politicians, it’s about power; to the AGW scientists, it’s about funding; to the media, it’s a marketable commodity and to the environmentalists, it’s a religious conviction and a need to impose socialist controls. The only people who care about the truth are the sceptics.']","['June 23, 2009', '“The climate science community has been hijacked by vested interest groups, from politicians to environmentalist extremists, who are more concerned with advocacy for their causes than true unbiased scientific endeavor. We can only hope to have begun here to redress the balance, and to ask the questions which vested interests do not want asked.”4Joe Fone. “A Legacy of Vested Interests,” Investigate Magazine, June 23, 2009.']",
Viv Forbes,Australia,https://www.desmog.com/viv-forbes/,"['We’re not controlling the climate and the carbon dioxide is certainly not one of the things we need to be concerned about,', 'It is unbelievable that many in politics and the media are whipping up public hysteria about ‘global warming’ when the best evidence suggests that for the 100 years ending in the year 2000, the century of coal, steel, electricity, the internal combustion engine, jet planes, two world wars and a population explosion, the average surface temperature rose by only 0.6 deg, and there has been NO increase in temperature since 1998. In many areas, surface temperatures have been falling for decades.', 'Queensland has wasted millions on the global warming industry. Residents would be better off had they spent it on water storage, flood gauges and flood-proofing of highways, railways and airports.', 'Even if the water vapour and carbon dioxide produced by man did cause some slight warming of the earth, is this a problem? Eons of geological history show that a warm, moist, carbon-rich atmosphere encourages all life on earth. These periods are referred to as ‘Golden Ages’. The cold barren periods are those to be feared – they get called ‘The Dark Ages’.', 'The Earth has supported abundant life many times in the geological past when there were much higher levels of carbon dioxide in the atmosphere. It is quite likely that future generations will benefit from the enrichment of Earth’s atmosphere with more\xa0carbon\xa0dioxide Make no mistake, the agitators are not defending science from quackery — quite\xa0the\xa0contrary!', 'In just a few weeks, more than 300 eminent scientists and other qualified individuals from around the world have signed the petition below,', 'If the Paris climate accord is ratified, or enforced locally by compliant governments, it will strangle the leading economies of the world with pointless carbon taxes and costly climate and energy policies, all with no sound basis in evidence or science\xa0[…]']",,
Bob Foster,Australia,https://www.desmog.com/bob-foster/,"['In my opinion, someone who believes that by ‘doing the right thing’ about fossil fuel consumption we can stabilise climate, will believe anything.', 'People don’t drive climate; it’s the Sun. Instead of manning the barricades in defence of an implausible hypothesis, humanity would be better served if the Society were to lead an open-minded search for improved understanding of our ever-varying climate.']",,
Philip Foster,United Kingdom,https://www.desmog.com/philip-foster/,"['How could EU regulation, which was now failing to prevent goods from outside the EU from flooding in, be in some way extended and strengthened? It is this answer to this problem that is the key to understanding why the EU has embraced the idea of Catastrophic Anthropogenic Climate Change (CACC).26Mike Haseler. “Climate Change: What we know and what we don’t,']","['In 2013, Foster told local newspaperThe Hunts Postthat he started to form his opinions on climate change after readingThe Sceptical EnvironmentalistbyBjorn Lomborg,which downplays the threat of global warming.24Andy Veale. “Huntingdonshire man pens climate change version of A Christmas Carol,”The Hunts Post, December 28, 2013.Archived March 7, 2019. Archive.fo URL:http://archive.fo/damQv', 'August 11, 2014', 'Ina forewordto a summary of a lecture given by disgraced Australian climate sceptic Dr Murry Salby entitled “Climate Change: What we know and what we don’t,” Foster wrote:25Mike Haseler. “Climate Change: What we know and what we don’t,”Bruges Group, August 11, 2014. Archived March 7, 2019. Archive.fo URL:http://archive.fo/3lcSh', '“How could EU regulation, which was now failing to prevent goods from outside the EU from flooding in, be in some way extended and strengthened? It is this answer to this problem that is the key to understanding why the EU has embraced the idea of Catastrophic Anthropogenic Climate Change (CACC).26Mike Haseler. “Climate Change: What we know and what we don’t,”Bruges Group, August 11, 2014. Archived March 7, 2019. Archive.fo URL:http://archive.fo/3lcSh', '“Through the ‘moral’ imperative of ‘saving the planet’ from the dire consequences of burning of fossil fuels, the EU hoped it could hobble the burgeoning industries of Brazil, Russia, India, China (BRICs). Making the world’s energy extremely expensive by requiring the use of renewables and by insisting on heavy carbon taxes, you are a long way towards crushing the competition of the BRICs.27Mike Haseler. “Climate Change: What we know and what we don’t,”Bruges Group, August 11, 2014. Archived March 7, 2019. Archive.fo URL:http://archive.fo/3lcSh', '“Faced as we are with just about every supranational body, the EU and the UN with its IPCC [Intergovernmental Panel on Climate Change], a host of Green NGOs, such as WWF, Friends of the Earth and Greenpeace and other hugely wealthy lobby groups, along with a supposed global consensus of scientific opinion that the burning of fossil fuels is catastrophically changing the climate, we might indeed feel intimidated and fearful to challenge this awesome multi-headed giant.28Mike Haseler. “Climate Change: What we know and what we don’t,”Bruges Group, August 11, 2014. Archived March 7, 2019. Archive.fo URL:http://archive.fo/3lcSh', '“Here Prof Murry Salby comes to our rescue. With one deadly piece of precision science he has slain the giant phantom of CACC [Catastrophic Anthropogenic Climate Change].”29Mike Haseler. “Climate Change: What we know and what we don’t,”Bruges Group, August 11, 2014. Archived March 7, 2019. Archive.fo URL:http://archive.fo/3lcSh']",
The Thirteen Foundation,United States,https://www.desmog.com/thirteen-foundation/,"['When I started Life Dynamics, one of the things I looked around for was what I perceived as holes in the (pro-life) effort. I had no interest in creating another pro-life organization to duplicate the efforts of the existing organizations. One of the things I noticed was that the pro-life movement had never developed a really sophisticated or professional counter-intelligence or intelligence-gathering mechanism. Everything we did on that front was somewhat haphazard and amateurish. That was something I knew something about\xa0  developed some of my own strategies for getting information … The revelations about the abortion industry being involved in the marketing of baby parts … We were the organization that brought that information out. We were undercover in an abortion clinic in Oberland, Ks. for 31 months and were able to come out with information and documentation to prove that there was this grisly trade in aborted parts of babies. Our child predator campaign was another investigation with aspects that were undercover.', 'he Thirteen Foundation17010 Interstate 20Cisco, TX 76437Ph:\xa0(254) 850-360']",,
Franklin News Foundation,United States,https://www.desmog.com/franklin-news-foundation/,"['That’s a spectacular leap for a nonprofit, especially in Medora,', 'All publications have a mission and a voice. We are unabashed in ours: to spotlight waste, fraud and misuse of taxpayer dollars by state and local governments. We always ask these questions when reporting on events: What does this mean for taxpayers? Will it advance or restrict individual freedom? We look at the bigger picture, provide analysis that’s often missing from modern news stories, and do more than provide ‘he-said, she-said’ reports from the state Capitol. Our journalists look for the back story and offer much-needed perspective on the day’s news.', 'Specializing in state and local government, [the] Franklin Center has focused its efforts on reaching maximum penetration within small and mid-sized media markets—on driving a conversation about transparency, accountability, and fiscal responsibility at the grassroots level and putting a human face on public policy,', 'The Center Square was launched to fulfill the need for high-quality statehouse and statewide news across the United States,', 'We already had in place one of the nation’s most successful state-focused news sites and newswire services with the Illinois News Network, from which we delivered such content. So it was with INN in mind that we invested in revamping Watchdog.org in 2018, and approached each of our new states as if it was an INN franchise,', 'But the feedback from editors and readers was consistent: How can you call yourselves Watchdog.org when you are not purely an investigative news operation, and why does your 501(c)(3) sound like you’re running a think tank?', 'We’re leaders in the new wave of non-profit journalism. We have reporters, news sites, investigative journalists and affiliates across the country—and we’re growing. In addition to our nationwide team of professional journalists, we are expanding our reach into citizen journalism,', 'We hear you. Your threat is clear: There is a heavy and inconvenient cost to disagreeing with you. Calls for debate will be met with political retribution. That’s called tyranny. And, we reject it.', 'These groups collectively are the heart and soul of climate denial,', 'ccording to Kevin Glass, “shameless green groups are […] running ads in North Carolina vilifying Duke Energy and are ramping up their attacks against the company over coal ash. Their motivation is clear: They want to link Republican Governor Pat McCrory – a former longtime Duke Energy employee – to a contrived ‘pollution’ scandal.', 'While the amounts of hexavalent chromium detected in municipal water supplies in North Carolina are worrisome and show we do need state and federal drinking water standards to catch up to the latest science, some of the levels found in wells near Duke’s coal ash sites have been much higher,']","['Neither the Franklin Center nor the Franklin News Foundation appear to have made any official statements on climate change. However, Franklin-affiliated news outlets regularly publishes articles questioning man-made climate change. Some examples below:', 'December 10, 2015', 'According toRoy Cordato, whowrote in Franklin-Center-affiliatedCarolina Journal, “Warming has actually occurred at a pace far below what any climate models have predicted,” (CitingAnthony WattscitingRoy Spencer.)30Roy Cordato. “Front-Page Advocacy on Climate Talks,”Carolina Journal, December 10, 2015. Archived May 8, 2016. Archive URL:https://archive.ph/i96dL', 'Cordato claimed there has been a “[…] ‘pause’ in warming, that is the flat trend in global temperatures over the last 18 — now going on 19 — years […]” (Citing himself, citingAnthony Watts, who reposted an article written byChristopher Moncktonthat finally citesRoss McKitrick).31Roy Cordato. “Front-Page Advocacy on Climate Talks,”Carolina Journal, December 10, 2015. Archived May 8, 2016. Archive URL:https://archive.ph/i96dL', 'Cordato continues, writing that “global warming is not about data points,” but that this is a “a trick pulled by global warming alarmists over the last decade” (citing himself, citingFred Singer).']",
Foundation for Accountability and Civic Trust (FACT),United States,https://www.desmog.com/foundation-accountability-and-civic-trust-fact/,"['Our judicial system was created as the third branch of our government to uphold laws and see that justice prevails. It was not designed to be corrupted into a political tool, used as a weapon to persecute, intimidate and silence individuals and groups over mere differences of opinion,', 'You know, I think that I’m not a climate denier. It may be warming, I think the evidence is inconclusive, but there may be a human component to global warming. But that’s very small and it may be part of the natural warming or cooling of the planet. I’m certainly not a climate expert, but I don’t believe in Cap and Trade or those types of regulations that try to hamstring the U.S. economy as other countries continue to put carbon into the air. I don’t believe in big government solutions to a problem that doesn’t appear to be that significant or quite possibly isn’t man\xa0made.', '717 K Street NW\nSuite 900\nWashington D.C.\xa02000 \u200bTel: (202)\xa0787-586']",,
Foundation for Economic Education,United States,https://www.desmog.com/foundation-economic-education/,"['Cost-benefit analysis (CBA) implies we should do very little to prevent climate change. Instead, we should create wealth. Expanding the productive capacity of the economy will compensate future generations better than reductions in GHG will. A richer world in 2100, after all, will be able to afford to do things like relocating people affected by rising sea levels and constructing new port facilities and seawalls,', 'Cost-benefit analysis (CBA) implies we should do very little to prevent climate change. Instead, we should create wealth. Expanding the productive capacity of the economy will compensate future generations better than reductions in GHG will. A richer world in 2100, after all, will be able to afford to do things like relocating people affected by rising sea levels and constructing new port facilities and seawalls,', 'The dirty little secret behind nearly all the alarmists’ policy proposals is that they will not have any noticeable impact on the climate,', 'The dirty little secret behind nearly all the alarmists’ policy proposals is that they will not have any noticeable impact on the climate,', 'In the most recent 5,000-year period, there have been numerous periods of distinct global warming and global cooling. However, the overall long-term climatic trend indicates that the earth has been getting cooler, not warmer,', 'In the most recent 5,000-year period, there have been numerous periods of distinct global warming and global cooling. However, the overall long-term climatic trend indicates that the earth has been getting cooler, not warmer,', 'CO2 generally provides great benefits for the earth and mankind, […] These benefits are in addition to those that are likely to occur in the event that warming actually takes place. Increased temperatures, especially those that occur overnight, will delay the first frost and prolong growing seasons, further expanding crop yields,', 'CO2 generally provides great benefits for the earth and mankind, […] These benefits are in addition to those that are likely to occur in the event that warming actually takes place. Increased temperatures, especially those that occur overnight, will delay the first frost and prolong growing seasons, further expanding crop yields,', 'Given the uncertain prospects for drastic climate change in the immediate future and considering the potential for crippling costs of aggressive emissions-abatement policies, reasoned concern and continued study appear to be the responsible courses of action,', '819 Peachtree Road NE, Suite 300Atlanta, GA 30309US ain Line: (404) 554-9980Toll Free: (800) 960-4333Fax: (404)\xa0393-314 ttps://fee.org']",,
Foundation for Independence,United Kingdom,https://www.desmog.com/foundation-independence/,['9 Luddenham\xa0Clos shfor en N23 5SE'],,
Michael Fox,United States,https://www.desmog.com/michael-fox/,"['Instead of refusing to allow drilling for oil and natural gas on what it considers environmentally sensitive federal lands and coastal waters, Congress should open them up. Shutting away areas that hold a large part of the estimated 112 billion barrels of recoverable oil and 656 trillion cubic feet of natural gas in the United States is a luxury we can no longer afford, not when federal policy constrains energy production and contributes to rising energy costs for the American consumer.']",,
Liam Fox,United Kingdom,https://www.desmog.com/liam-fox/,"['I have always taken environmental issues extremely seriously. The state of our planet should concern us all. There is a clear scientific consensus on climate change, which I fully respect. Even those who don’t accept it should want to see our finite resources carefully managed.', 'I fully understand and appreciate people’s concerns about fracking, but let me reassure you that the Government is creating a regulatory regime that provides clear, strong protections for the environment. With these in place, I think it is right that we explore and make use of shale gas and oil. The opportunity to extract this energy, as well as to secure jobs and investment, cannot be ignored.', 'Of course, none of this diminishes in any way our need to reduce the consumption of fossil fuels. Apart from the well documented changes in global climate, we should be better shepherds of the finite global sources we possess. We are not the owners of our planet, merely its temporary guardians.', 'It’s important that we take climate issues seriously. Whether or not individuals accept the current scientific consensus on the causes of climate change, it is sensible for everyone to use finite resources in a responsible way We in the United Kingdom were the first country to establish legally binding emission targets through the climate change act 2008, we have reduced emissions faster than any other G7 country and we are leaders in clean energy production There is an estimated 11.5 trillion dollars that is likely to be invested in clean energy between now and 2050 globally, that represents an enormous opportunity for the United Kingdom, which is already as I’ve said a global leader, both by practice and by export, and could mean a lot of potential jobs for the United Kingdom.']","['April 25, 2019', 'Fox was criticised for appearing to suggest climate science could be rejected in comments made to the House of Commons. Helater clarified them, tweeting:', '“I have always taken environmental issues extremely seriously. The state of our planet should concern us all. There is a clear scientific consensus on climate change, which I fully respect. Even those who don’t accept it should want to see our finite resources carefully managed.”17Jessica Elgot. “Liam Fox forced to clarify climate change comments,”The Guardian, April 25, 2019.Archived April 25, 2019. Archive.fo URL:http://archive.fo/aV6GQ', 'February 27, 2019', 'Asreported byEnergy Live News, Fox made the following statement while speaking at the oil and gas leaders at the International Petroleum Week:18Priyanka Shrestha. “Liam Fox pledges support for oil and gas and environmental standards post-Brexit,”Energy Live News, February 28, 2019. Archived March 19, 2019. Archive.fo URL:https://archive.fo/0qOlW', '“In climate change as in all things, we must never let the perfect be the enemy of the good. We must focus on a low carbon future but the simple fact is that for the moment, we do require fossil fuels to deliver secure and affordable energy.', '“That need for oil and gas is especially pressing for countries in the third world, who need affordable energy to grow their economies to a level we take for granted.', '“Our commitment to work with the oil and gas industry to deliver an affordable, secure, cleaner future is something you can rely on. And our commitment to tackle climate change is something you can rely upon: a fixed point on the firmament for any investor.”19Priyanka Shrestha. “Liam Fox pledges support for oil and gas and environmental standards post-Brexit,”Energy Live News, February 28, 2019. Archived March 19, 2019. Archive.fo URL:https://archive.fo/0qOlW', 'He said the government “will not use Brexit as a means or an excuse” to lower environmental standards” and called climate change “undoubtedly one of the most pressing challenges” beyond Brexit. He added:20Priyanka Shrestha. “Liam Fox pledges support for oil and gas and environmental standards post-Brexit,”Energy Live News, February 28, 2019. Archived March 19, 2019. Archive.fo URL:https://archive.fo/0qOlW', '“The UK is legally committed to reducing greenhouse gas emissions by 80% between 1990 and 2050. This is a commitment that is part of our domestic law through the Climate Change Act, not EU law.', '“Our environmental standards are already above the EU minimum. If this government had wanted to use Brexit to reduce environmental standards, we would have reduced them already.', '“The United Kingdom’s comparative advantage is in quality, not price and that includes high environmental standards.”21Priyanka Shrestha. “Liam Fox pledges support for oil and gas and environmental standards post-Brexit,”Energy Live News, February 28, 2019. Archived March 19, 2019. Archive.fo URL:https://archive.fo/0qOlW', 'Fox’s voting record suggests climate change is not a priority issue for him, havingmostly voted againstmeasures to limit greenhouse gas emissions over the years.22“Liam Fox: climate change,”They Work For You.Archived March 8, 2019. Archive.fo URL:http://archive.fo/sOsrQ', 'Two of Fox’s five-member expert committee, formed in October 2017, are prominent figures in theUK climate science denial movement. Lord Peter Lilley was one of five MPs to vote against the UK’s 2008 Climate Change Act, and both he and Dr Ruth Lea sit on theBoard of Trusteesof the climate scepticGlobal Warming Policy Foundation(GWPF).23“Who we are,”Global Warming Policy Foundation. Archived March 7, 2019. Archive.fo URL:http://archive.fo/1S8cw', 'Michael Hintze, a keyfunder of the GWPF, was also themain sponsorof Fox’s Atlantic Bridge.24Graham Readfearn, Leo Hickman, Rupert Neate. “Michael Hintze revealed as funder of Lord Lawson’s climate thinktank,”The Guardian, March 27, 2012.Archived March 7, 2019. Archive.fo URL:http://archive.fo/Ggczd', 'In an undatedstatementexpressing his views on fracking—nearly identical to statements bysome other MPs—Fox wrote:25“Fracking,”Liam Fox website. Archived March 7, 2019. Archive.fo URL:http://archive.fo/bWNdc26“Fracking in National Parks,”Suella Braverman’swebsite. Archived March 19, 2019. Archive.fo URL:https://archive.fo/twCkP', '“I fully understand and appreciate people’s concerns about fracking, but let me reassure you that the Government is creating a regulatory regime that provides clear, strong protections for the environment. With these in place, I think it is right that we explore and make use of shale gas and oil. The opportunity to extract this energy, as well as to secure jobs and investment, cannot be ignored.”', 'He added:', '“Of course, none of this diminishes in any way our need to reduce the consumption of fossil fuels. Apart from the well documented changes in global climate, we should be better shepherds of the finite global sources we possess. We are not the owners of our planet, merely its temporary guardians.”27“Fracking,”Liam Fox website. Archived March 7, 2019. Archive.fo URL:http://archive.fo/bWNdc']",
Franklin Center for Government and Public Integrity,United States,https://www.desmog.com/franklin-centre-government-and-public-integrity/,"['All publications have a mission and a voice. We are unabashed in ours: to spotlight waste, fraud and misuse of taxpayer dollars by state and local governments. We always ask these questions when reporting on events: What does this mean for taxpayers? Will it advance or restrict individual freedom? We look at the bigger picture, provide analysis that’s often missing from modern news stories, and do more than provide ‘he-said, she-said’ reports from the state Capitol. Our journalists look for the back story and offer much-needed perspective on the day’s news.', 'Specializing in state and local government, [the] Franklin Center has focused its efforts on reaching maximum penetration within small and mid-sized media markets—on driving a conversation about transparency, accountability, and fiscal responsibility at the grassroots level and putting a human face on public policy,', 'We’re leaders in the new wave of non-profit journalism. We have reporters, news sites, investigative journalists and affiliates across the country—and we’re growing. In addition to our nationwide team of professional journalists, we are expanding our reach into citizen journalism,', 'For the most part, the people in charge of these would-be watchdog operations are political hacks out to subvert journalism in their quest to grab and keep power using whatever means they have to do so. […] At the forefront of an effort to blur the distinction between statehouse reporting and political advocacy is the Franklin Center for Government & Public Integrity.', 'There is a way for Nevada to fight back. Every business owner and electricity consumer in Nevada should encourage both Gov. Brian Sandoval and Attorney General Adam Laxalt to join 27 other states and fight the Clean Power Plan in federal court.', 'I continue to contend that ‘climate change’ is a meaningless phrase because the climate obviously changes. But how? To what effect? It’s like saying ‘baby change’ about an infant. How? Is he well and growing? Is he ill ’Climate change’ is useful for political activism because, unlike ‘global warming,’ it can’t be tested.', 'There’s seemingly nothing anyone can do to appease global warming activists bent on putting the nation’s energy suppliers out of business.', 'Many people will uncritically blame fossil fuel use for recent warm weather. But they are blind to how fossil fuels have reduced climate-related deaths since the 1920s.', '[T]here are rifts in the scientific community – among scientists themselves when it comes to global warming, what — if anything — should be done about it, and a number of climatologists worry their discipline is getting pulled into overtly political directions.“32Rob Nikolewski.', 'Hard-nosed physical evidence of man-made global warming has yet to be provided by the promoters of warming, even after a nominal $80 billion dollars have been spent in the attempt to do so.', 'ranklin Center for Government & Public Integrity\n107 S. West St.\nSuite 718\nAlexandria, VA\xa02231 hone: (571) 384-2090\nFax: (571)\xa0384-209', 'We hear you. Your threat is clear: There is a heavy and inconvenient cost to disagreeing with you. Calls for debate will be met with political retribution. That’s called tyranny. And, we reject it.', 'These groups collectively are the heart and soul of climate denial,', 'ccording to Kevin Glass, “shameless green groups are […] running ads in North Carolina vilifying Duke Energy and are ramping up their attacks against the company over coal ash. Their motivation is clear: They want to link Republican Governor Pat McCrory – a former longtime Duke Energy employee – to a contrived ‘pollution’ scandal.', 'While the amounts of hexavalent chromium detected in municipal water supplies in North Carolina are worrisome and show we do need state and federal drinking water standards to catch up to the latest science, some of the levels found in wells near Duke’s coal ash sites have been much higher,']",,
